cols,urls,case
"{'Total', 'Class eg: X', 'Number of equity shares held in dematerialized form', 'Entity Type', 'Shareholding as a % of total no. of shares (calculated as per SCRR, 1957)As a % of (A+B+C2)', 'No.(a)', 'Category of shareholder', 'Number of Voting Rights held in each class of securities', 'As a % of total Shares held(b)', 'Nos. of shareholders', 'No. of fully paid up equity shares held', 'Number of Shares pledged or otherwise encumbered', 'Total nos. shares held'}",https://www.bseindia.com/corporates/shpPromoterNGroup.aspx?scripcd=532921&qtrid=116.00&QtrName=December%202022,52
"{'Number of Voting Rights held in each class of securities', 'Total nos. shares held', 'No. of Shares UnderlyingOutstanding convertible securities (including Warrants)(X)', 'Shareholding as a % of total no. of shares (calculated as per SCRR, 1957)As a % of (A+B+C2)', 'Category of shareholder', 'No. of fully paid up equity shares held', 'Number of equity shares held in dematerialized form', 'Class eg: X', 'Nos. of shareholders', 'Total', 'Entity Type'}",https://www.bseindia.com/corporates/shpPromoterNGroup.aspx?scripcd=500010&qtrid=112,53
"{'Total nos. shares held', 'Entity Type', 'Shareholding as a % of total no. of shares (calculated as per SCRR, 1957)As a % of (A+B+C2)', 'Class eg: X', 'As a % of total Shares held(b)', 'Category of shareholder', 'Nos. of shareholders', 'Number of Locked in shares', 'Number of Shares pledged or otherwise encumbered', 'Number of Voting Rights held in each class of securities', 'No. of fully paid up equity shares held', 'Number of equity shares held in dematerialized form', 'Total', 'Shareholding , as a % assuming full conversion of convertible securities ( as a percentage of diluted share capital)As a % of (A+B+C2)', 'No.(a)'}",https://www.bseindia.com/corporates/shpPromoterNGroup.aspx?scripcd=500032&qtrid=112,54
"{'Nos. of shareholders', 'Category of shareholder', 'Shareholding as a % of total no. of shares (calculated as per SCRR, 1957)As a % of (A+B+C2)', 'Number of equity shares held in dematerialized form', 'Class eg: X', 'No. of Shares UnderlyingOutstanding convertible securities (including Warrants)(X)', 'Number of Voting Rights held in each class of securities', 'Entity Type', 'Total', 'No. of shares underlying Depository Receipts', 'No. of fully paid up equity shares held', 'Total nos. shares held'}",,55
"{'Entity Type', 'Number of Voting Rights held in each class of securities', 'Total', 'Category of shareholder', 'No. of fully paid up equity shares held', 'No. of shares underlying Depository Receipts', 'Total nos. shares held', 'Nos. of shareholders', 'Class eg: X', 'Number of equity shares held in dematerialized form', 'Shareholding as a % of total no. of shares (calculated as per SCRR, 1957)As a % of (A+B+C2)'}",,56
"['Category of shareholder', 'Entity Type', 'Nos. of shareholders', 'No. of fully paid up equity shares held', 'No. of shares underlying Depository Receipts', 'Total nos. shares held', 'Shareholding as a % of total no. of shares (calculated as per SCRR, 1957)As a % of (A+B+C2)', 'Number of Voting Rights held in each class of securities', ' Number of equity shares held in dematerialized form', 'Class eg: X', 'Total']",,57
"['Category of shareholder', 'Entity Type', 'Nos. of shareholders', 'No. of fully paid up equity shares held', 'Total nos. shares held', 'Shareholding as a % of total no. of shares (calculated as per SCRR, 1957)As a % of (A+B+C2)', 'Number of Voting Rights held in each class of securities', 'No. of Shares UnderlyingOutstanding convertible securities (including Warrants)(X)', ' Number of Locked in shares', ' Number of Shares pledged or otherwise encumbered', ' Number of equity shares held in dematerialized form', 'No.(a)', 'As a % of total Shares held(b)', 'No.(a)', 'As a % of total Shares held(b)', 'Class eg: X', 'Total']",,58
"['Category of shareholder', 'Entity Type', 'Nos. of shareholders', 'No. of fully paid up equity shares held', 'Total nos. shares held', 'Shareholding as a % of total no. of shares (calculated as per SCRR, 1957)As a % of (A+B+C2)', 'Number of Voting Rights held in each class of securities', 'No. of Shares UnderlyingOutstanding convertible securities (including Warrants)(X)', 'Shareholding , as a % assuming full conversion of convertible securities ( as a percentage of diluted share capital)As a % of (A+B+C2)', ' Number of Locked in shares', ' Number of Shares pledged or otherwise encumbered', ' Number of equity shares held in dematerialized form', 'No.(a)', 'As a % of total Shares held(b)', 'No.(a)', 'As a % of total Shares held(b)', 'Class eg: X', 'Total']",,59
"['Category of shareholder', 'Entity Type', 'Nos. of shareholders', 'No. of fully paid up equity shares held', 'Total nos. shares held', 'Shareholding as a % of total no. of shares (calculated as per SCRR, 1957)As a % of (A+B+C2)', 'Number of Voting Rights held in each class of securities', 'No. of Shares UnderlyingOutstanding convertible securities (including Warrants)(X)', ' Number of Locked in shares', ' Number of equity shares held in dematerialized form', 'No.(a)', 'As a % of total Shares held(b)', 'Class eg: X', 'Total']",,60
"['Category of shareholder', 'Entity Type', 'Nos. of shareholders', 'No. of fully paid up equity shares held', 'No. of shares underlying Depository Receipts', 'Total nos. shares held', 'Shareholding as a % of total no. of shares (calculated as per SCRR, 1957)As a % of (A+B+C2)', 'Number of Voting Rights held in each class of securities', 'No. of Shares UnderlyingOutstanding convertible securities (including Warrants)(X)', ' Number of Locked in shares', ' Number of Shares pledged or otherwise encumbered', ' Number of equity shares held in dematerialized form', '', 'Total as a % of (A+B+C) ', 'No.(a)', 'As a % of total Shares held(b)', 'No.(a)', 'As a % of total Shares held(b)', 'Class eg: X', 'Class eg:y', 'Total']",,61
"['Category of shareholder', 'Entity Type', 'Nos. of shareholders', 'No. of fully paid up equity shares held', 'Total nos. shares held', 'Shareholding as a % of total no. of shares (calculated as per SCRR, 1957)As a % of (A+B+C2)', 'Number of Voting Rights held in each class of securities', 'No. of Shares UnderlyingOutstanding convertible securities (including Warrants)(X)', 'Shareholding , as a % assuming full conversion of convertible securities ( as a percentage of diluted share capital)As a % of (A+B+C2)', ' Number of Locked in shares', ' Number of equity shares held in dematerialized form', 'No.(a)', 'As a % of total Shares held(b)', 'Class eg: X', 'Total']",,62
"{'Number of equity shares held in dematerialized form', 'Total nos. shares held', 'No. of Partly paid-up equity shares held', 'Shareholding as a % of total no. of shares (calculated as per SCRR, 1957)As a % of (A+B+C2)', 'Total', 'Category of shareholder', 'Class eg: X', 'Number of Voting Rights held in each class of securities', 'No. of fully paid up equity shares held', 'Nos. of shareholders', 'No. of shares underlying Depository Receipts', 'Entity Type'}",,63
"{'No.(a)', 'Nos. of shareholders', 'Total', 'Number of equity shares held in dematerialized form', 'Shareholding , as a % assuming full conversion of convertible securities ( as a percentage of diluted share capital)As a % of (A+B+C2)', 'Class eg: X', 'Entity Type', 'Shareholding as a % of total no. of shares (calculated as per SCRR, 1957)As a % of (A+B+C2)', 'As a % of total Shares held(b)', 'No. of fully paid up equity shares held', 'Number of Locked in shares', 'Number of Voting Rights held in each class of securities', 'Total nos. shares held', 'Category of shareholder'}",,64
"{'No. of shares underlying Depository Receipts', 'Number of Voting Rights held in each class of securities', 'Number of Shares pledged or otherwise encumbered', 'Total', 'Entity Type', 'No. of fully paid up equity shares held', 'Class eg: X', 'Nos. of shareholders', 'No. of Shares UnderlyingOutstanding convertible securities (including Warrants)(X)', 'Shareholding as a % of total no. of shares (calculated as per SCRR, 1957)As a % of (A+B+C2)', 'Category of shareholder', 'No.(a)', 'As a % of total Shares held(b)', 'Total nos. shares held', 'Number of equity shares held in dematerialized form'}",,65
"{'Category of shareholder', 'No. of shares underlying Depository Receipts', 'Nos. of shareholders', 'Entity Type', 'Total nos. shares held', 'Class eg: X', 'No.(a)', 'Number of Locked in shares', 'Total', 'As a % of total Shares held(b)', 'Number of Voting Rights held in each class of securities', 'Shareholding as a % of total no. of shares (calculated as per SCRR, 1957)As a % of (A+B+C2)', 'Number of equity shares held in dematerialized form', 'No. of fully paid up equity shares held'}",,66
"{'Nos. of shareholders', 'Shareholding as a % of total no. of shares (calculated as per SCRR, 1957)As a % of (A+B+C2)', 'No. of Partly paid-up equity shares held', 'Category of shareholder', 'Total nos. shares held', 'No. of shares underlying Depository Receipts', 'No. of fully paid up equity shares held', 'Number of Voting Rights held in each class of securities', 'Class eg: X', 'Entity Type', 'Total', 'Number of equity shares held in dematerialized form', 'Number of Shares pledged or otherwise encumbered', 'No.(a)', 'As a % of total Shares held(b)'}",,67
"{'', 'No. of fully paid up equity shares held', 'Class eg: X', 'Total nos. shares held', 'Entity Type', 'Total as a % of (A+B+C)', 'Number of Voting Rights held in each class of securities', 'Shareholding as a % of total no. of shares (calculated as per SCRR, 1957)As a % of (A+B+C2)', 'Number of Locked in shares', 'Number of equity shares held in dematerialized form', 'Nos. of shareholders', 'Total', 'Number of Shares pledged or otherwise encumbered', 'As a % of total Shares held(b)', 'No. of shares underlying Depository Receipts', 'Class eg:y', 'Category of shareholder', 'No. of Partly paid-up equity shares held', 'No.(a)'}",,68
"{'No. of Partly paid-up equity shares held', 'Total', 'No. of fully paid up equity shares held', 'Number of Voting Rights held in each class of securities', 'Nos. of shareholders', 'Number of equity shares held in dematerialized form', 'Shareholding as a % of total no. of shares (calculated as per SCRR, 1957)As a % of (A+B+C2)', 'Entity Type', 'Category of shareholder', 'Total nos. shares held', 'Class eg: X'}",,69
"{'Class eg: X', 'Category of shareholder', 'Shareholding as a % of total no. of shares (calculated as per SCRR, 1957)As a % of (A+B+C2)', 'Number of equity shares held in dematerialized form', 'Entity Type', 'Total', 'Shareholding , as a % assuming full conversion of convertible securities ( as a percentage of diluted share capital)As a % of (A+B+C2)', 'Nos. of shareholders', 'No. of fully paid up equity shares held', 'Total nos. shares held', 'Number of Voting Rights held in each class of securities'}",,70
"{'No. of fully paid up equity shares held', 'Number of Voting Rights held in each class of securities', 'Shareholding as a % of total no. of shares (calculated as per SCRR, 1957)As a % of (A+B+C2)', 'Number of Locked in shares', 'Total', 'No. of shares underlying Depository Receipts', 'Total nos. shares held', 'Nos. of shareholders', 'Shareholding , as a % assuming full conversion of convertible securities ( as a percentage of diluted share capital)As a % of (A+B+C2)', 'Entity Type', 'Category of shareholder', 'Number of equity shares held in dematerialized form', 'No. of Partly paid-up equity shares held', 'As a % of total Shares held(b)', 'Number of Shares pledged or otherwise encumbered', 'No.(a)', 'Class eg: X'}",,71
"{'No.(a)', 'Class eg: X', 'Nos. of shareholders', 'Category of shareholder', 'Shareholding as a % of total no. of shares (calculated as per SCRR, 1957)As a % of (A+B+C2)', 'Number of equity shares held in dematerialized form', 'Number of Shares pledged or otherwise encumbered', 'Total', 'Number of Voting Rights held in each class of securities', 'Entity Type', 'As a % of total Shares held(b)', 'Total nos. shares held', 'No. of Shares UnderlyingOutstanding convertible securities (including Warrants)(X)', 'No. of fully paid up equity shares held', 'Shareholding , as a % assuming full conversion of convertible securities ( as a percentage of diluted share capital)As a % of (A+B+C2)'}",,72
"{'', 'Class eg: X', 'No. of fully paid up equity shares held', 'Number of equity shares held in dematerialized form', 'Class eg:y', 'Category of shareholder', 'Entity Type', 'Total as a % of (A+B+C)', 'Total', 'Total nos. shares held', 'No. of shares underlying Depository Receipts', 'Number of Voting Rights held in each class of securities', 'Nos. of shareholders', 'Shareholding as a % of total no. of shares (calculated as per SCRR, 1957)As a % of (A+B+C2)'}",,73
"{'Shareholding as a % of total no. of shares (calculated as per SCRR, 1957)As a % of (A+B+C2)', 'Category of shareholder', 'Class eg: X', 'Entity Type', 'Nos. of shareholders', 'Number of Voting Rights held in each class of securities', 'No.(a)', 'No. of fully paid up equity shares held', 'As a % of total Shares held(b)', 'No. of Shares UnderlyingOutstanding convertible securities (including Warrants)(X)', 'Total', 'Total nos. shares held', 'Number of Shares pledged or otherwise encumbered', 'Number of equity shares held in dematerialized form'}",,74
"{'Entity Type', 'Number of Voting Rights held in each class of securities', 'Class eg: X', 'Shareholding as a % of total no. of shares (calculated as per SCRR, 1957)As a % of (A+B+C2)', 'No.(a)', 'Shareholding , as a % assuming full conversion of convertible securities ( as a percentage of diluted share capital)As a % of (A+B+C2)', 'Number of equity shares held in dematerialized form', 'As a % of total Shares held(b)', 'Total', 'Number of Shares pledged or otherwise encumbered', 'No. of fully paid up equity shares held', 'Nos. of shareholders', 'Total nos. shares held', 'Category of shareholder'}",,75
"{'No. of fully paid up equity shares held', 'No.(a)', 'Number of Voting Rights held in each class of securities', 'Category of shareholder', 'Total', 'Total nos. shares held', 'Shareholding as a % of total no. of shares (calculated as per SCRR, 1957)As a % of (A+B+C2)', 'Number of Shares pledged or otherwise encumbered', 'Number of equity shares held in dematerialized form', 'Class eg: X', 'Entity Type', 'No. of Partly paid-up equity shares held', 'Nos. of shareholders', 'As a % of total Shares held(b)'}",,76
"{'Entity Type', 'Shareholding as a % of total no. of shares (calculated as per SCRR, 1957)As a % of (A+B+C2)', 'Total nos. shares held', 'No. of Partly paid-up equity shares held', 'Shareholding , as a % assuming full conversion of convertible securities ( as a percentage of diluted share capital)As a % of (A+B+C2)', 'Total', 'Class eg: X', 'Category of shareholder', 'Number of Voting Rights held in each class of securities', 'Nos. of shareholders', 'No. of fully paid up equity shares held', 'Number of equity shares held in dematerialized form'}",,77
"{'Shareholding as a % of total no. of shares (calculated as per SCRR, 1957)As a % of (A+B+C2)', 'Nos. of shareholders', 'As a % of total Shares held(b)', 'Category of shareholder', 'Total nos. shares held', 'Class eg: X', 'Number of Voting Rights held in each class of securities', 'No.(a)', 'No. of fully paid up equity shares held', 'Number of Locked in shares', 'Total', 'Number of equity shares held in dematerialized form', 'No. of Partly paid-up equity shares held', 'Entity Type'}",,78
"{'Entity Type', 'No. of fully paid up equity shares held', 'Class eg: X', 'Nos. of shareholders', 'No. of shares underlying Depository Receipts', 'Number of Locked in shares', 'Total nos. shares held', 'Number of equity shares held in dematerialized form', 'Category of shareholder', 'No.(a)', 'Total', 'Shareholding , as a % assuming full conversion of convertible securities ( as a percentage of diluted share capital)As a % of (A+B+C2)', 'Shareholding as a % of total no. of shares (calculated as per SCRR, 1957)As a % of (A+B+C2)', 'As a % of total Shares held(b)', 'Number of Voting Rights held in each class of securities'}",,79
"{'Shareholding as a % of total no. of shares (calculated as per SCRR, 1957)As a % of (A+B+C2)', 'Number of equity shares held in dematerialized form', 'No. of Shares UnderlyingOutstanding convertible securities (including Warrants)(X)', 'Class eg: X', 'Number of Voting Rights held in each class of securities', 'Category of shareholder', 'Entity Type', 'Total', 'No. of fully paid up equity shares held', 'Shareholding , as a % assuming full conversion of convertible securities ( as a percentage of diluted share capital)As a % of (A+B+C2)', 'Total nos. shares held', 'Nos. of shareholders'}",,80
"{'Class eg: X', 'Nos. of shareholders', 'Total', 'Number of Voting Rights held in each class of securities', 'Category of shareholder', 'Total nos. shares held', 'As a % of total Shares held(b)', 'Number of equity shares held in dematerialized form', 'Entity Type', 'No. of fully paid up equity shares held', 'No. of Shares UnderlyingOutstanding convertible securities (including Warrants)(X)', 'No.(a)', 'Shareholding as a % of total no. of shares (calculated as per SCRR, 1957)As a % of (A+B+C2)', 'No. of Partly paid-up equity shares held', 'Number of Locked in shares'}",,81
"{'Total', 'Class eg: X', 'As a % of total Shares held(b)', 'No.(a)', 'Total nos. shares held', 'Number of Shares pledged or otherwise encumbered', 'Number of Voting Rights held in each class of securities', 'Nos. of shareholders', 'No. of fully paid up equity shares held', 'Shareholding as a % of total no. of shares (calculated as per SCRR, 1957)As a % of (A+B+C2)', 'Number of equity shares held in dematerialized form', 'Number of Locked in shares', 'Category of shareholder', 'Entity Type', 'No. of Partly paid-up equity shares held'}",,82
"{'', 'No.(a)', 'Class eg:y', 'No. of Partly paid-up equity shares held', 'Number of Locked in shares', 'Nos. of shareholders', 'Category of shareholder', 'Shareholding as a % of total no. of shares (calculated as per SCRR, 1957)As a % of (A+B+C2)', 'Entity Type', 'Number of equity shares held in dematerialized form', 'Shareholding , as a % assuming full conversion of convertible securities ( as a percentage of diluted share capital)As a % of (A+B+C2)', 'No. of fully paid up equity shares held', 'Total as a % of (A+B+C)', 'Total nos. shares held', 'Number of Voting Rights held in each class of securities', 'Total', 'No. of shares underlying Depository Receipts', 'Class eg: X', 'As a % of total Shares held(b)'}",,83
"{'Number of Locked in shares', 'Nos. of shareholders', 'Number of Shares pledged or otherwise encumbered', 'Shareholding , as a % assuming full conversion of convertible securities ( as a percentage of diluted share capital)As a % of (A+B+C2)', 'No. of Partly paid-up equity shares held', 'No.(a)', 'Entity Type', 'Shareholding as a % of total no. of shares (calculated as per SCRR, 1957)As a % of (A+B+C2)', 'Total', 'Number of equity shares held in dematerialized form', 'Total nos. shares held', 'Class eg: X', 'Number of Voting Rights held in each class of securities', 'Category of shareholder', 'No. of fully paid up equity shares held', 'As a % of total Shares held(b)', 'No. of Shares UnderlyingOutstanding convertible securities (including Warrants)(X)'}",,84
"{'Shareholding as a % of total no. of shares (calculated as per SCRR, 1957)As a % of (A+B+C2)', 'Entity Type', 'Nos. of shareholders', 'Total nos. shares held', 'Class eg: X', 'No. of shares underlying Depository Receipts', 'No. of fully paid up equity shares held', 'Number of Voting Rights held in each class of securities', 'Total', 'Category of shareholder', 'Shareholding , as a % assuming full conversion of convertible securities ( as a percentage of diluted share capital)As a % of (A+B+C2)', 'Number of equity shares held in dematerialized form'}",,85
"{'Number of equity shares held in dematerialized form', 'Shareholding as a % of total no. of shares (calculated as per SCRR, 1957)As a % of (A+B+C2)', 'Number of Locked in shares', 'Class eg: X', 'Number of Shares pledged or otherwise encumbered', 'Category of shareholder', 'No. of shares underlying Depository Receipts', 'Nos. of shareholders', 'No. of Shares UnderlyingOutstanding convertible securities (including Warrants)(X)', 'As a % of total Shares held(b)', 'No. of fully paid up equity shares held', 'Entity Type', 'No.(a)', 'Total nos. shares held', 'Total', 'Number of Voting Rights held in each class of securities'}",,86
